t,ID_Tag,ID_Anchor,range
21.8,1,10,21.4470617632942
21.9,1,10,21.4860360635166
22,1,10,21.6068757191955
22.1,1,10,21.7098378373867
22.2,1,10,21.6802258656403
22.3,1,10,21.5526499078384
22.4,1,10,21.3559731770428
22.5,1,10,23.3107468786501
22.6,1,10,21.0285077123167
22.7,1,10,20.8081918152716
22.8,1,10,20.5669279251298
22.9,1,10,21.3419171808911
23,1,10,20.1428129265897
23.1,1,10,19.7251444521147
23.2,1,10,19.7777988329089
23.3,1,10,19.7510514064391
23.4,1,10,21.4544998836682
23.5,1,10,19.4454902812222
23.6,1,10,19.2521122031486
23.7,1,10,19.2281283804989
23.8,1,10,21.3764623493284
23.9,1,10,19.4163520409711
24,1,10,19.4567980673566
24.1,1,10,19.3671090435667
24.2,1,10,18.2130642483058
24.3,1,10,19.0800128318522
24.4,1,10,18.8956090685511
24.5,1,10,17.710679866542
24.6,1,10,18.5872472500865
24.7,1,10,18.4835540341928
24.8,1,10,18.1539157149684
24.9,1,10,17.8449171598532
25,1,10,17.5743667969277
25.1,1,10,17.6515675508457
25.2,1,10,17.3511508779303
25.3,1,10,16.9348076918647
25.4,1,10,16.7333076055653
25.5,1,10,16.600963996157
25.6,1,10,16.4401923114817
25.7,1,10,16.0105613692882
25.8,1,10,15.9940181990227
25.9,1,10,15.7578745596438
26,1,10,15.6660196890127
26.1,1,10,15.4573020213561
26.2,1,10,15.321606195877
26.3,1,10,15.1759609424188
26.4,1,10,14.8011449476974
26.5,1,10,14.6407688198686
26.6,1,10,14.5523086088926
26.7,1,10,14.3505109551074
26.8,1,10,12.2563488449096
26.9,1,10,14.1497969547591
27,1,10,13.9115305661096
27.1,1,10,13.8060194926352
27.2,1,10,13.7217783679696
27.3,1,10,13.5727227387039
27.4,1,10,13.7988628700148
27.5,1,10,13.7721482543638
27.6,1,10,14.1187838376604
27.7,1,10,14.2660347206661
27.8,1,10,14.6613927661413
27.9,1,10,15.0194853335015
28,1,10,15.3061380948827
28.1,1,10,15.5856282396543
28.2,1,10,15.8687290056814
28.3,1,10,15.8616781152104
28.4,1,10,15.0619319612363
28.5,1,10,16.0967842695316
28.6,1,10,16.0492324977535
28.7,1,10,16.1160866116894
28.8,1,10,16.1891341475176
28.9,1,10,12.0368688414381
29,1,10,16.2207261038783
29.1,1,10,16.3394697026635
29.2,1,10,16.4835138265133
29.3,1,10,16.5527003970941
29.4,1,10,16.5439339155947
29.5,1,10,16.875729543416
29.6,1,10,17.064817484703
