t,ID_Tag,x,y,z
2.6,2,1.35006257493982,3.63670606832091,5.36575930739011
2.7,2,0.749915777270633,3.51122116124789,5.57472790110218
2.8,2,0.251445893779796,3.64590447024796,5.58665980224601
2.9,2,-0.0541930399674537,4.22934094095618,5.25309124783404
3,2,-0.387561317275418,4.75370796894139,4.97208293158669
3.1,2,-0.604272087477061,5.39001229629389,4.68168151905644
3.2,2,-0.93583338343863,5.78769996732414,4.52615642639517
3.3,2,-1.2002544660431,6.00383071916324,4.47588586054812
3.4,2,-1.64612099996798,5.74451364041766,4.70155994076993
3.5,2,-2.1836949327953,5.78035733524968,4.98619472357667
3.6,2,-2.59237950066864,5.31152710793053,5.36031236816949
3.7,2,-2.85444507229887,5.01807705950534,5.60394556581051
3.8,2,-3.01431764139675,4.65841478655918,5.84089253055141
3.9,2,-3.08967411267964,4.37365822810973,5.73489304300607
4,2,-3.16704498572997,4.05405747177964,5.48925440625322
4.1,2,-3.27948055681828,3.70286078093048,5.41940887695688
4.2,2,-3.61208281943945,3.53257975980124,5.4414519137824
4.3,2,-4.17219492680036,3.36759405766072,5.39792800033583
4.4,2,-4.77611878146542,3.33668992982522,5.70348826078417
4.5,2,-5.37905843422652,3.14509978865093,5.89847282302824
4.6,2,-5.90296402555679,2.87963414835342,6.14676679856824
4.7,2,-6.26552990734633,2.51773423279083,6.15106337463675
4.8,2,-6.5203254857605,1.98098500958759,5.82516233384382
4.9,2,-6.52482009156298,1.35003371154926,5.56144007146215
5,2,-6.39200557617665,0.899224272919615,5.22561512059417
5.1,2,-6.13660033561438,0.334347891769482,4.99376627669307
5.2,2,-5.75631371919728,-0.132001934835003,4.88929867992564
5.3,2,-5.20405033162505,-0.441566316185273,5.02120450658168
5.4,2,-4.61028176055984,-0.66840306310629,5.23504723720261
5.5,2,-4.12520085288404,-0.865212369499586,5.45918804074731
5.6,2,-3.93846629299594,-1.4679570341546,5.56211836823987
5.7,2,-4.00252478939526,-1.7436364178097,5.62829067703803
5.8,2,-4.27010335038066,-2.38883168557217,5.47817414078148
5.9,2,-4.67875150440197,-3.21107526904731,5.31712901860054
6,2,-5.01541616585582,-3.79446570030469,5.17664608628896
6.1,2,-4.98158111245528,-4.32137034125552,5.14751187916319
6.2,2,-4.84735195437216,-4.76272175660249,5.42850011216613
6.3,2,-4.40462408237,-5.0896664865367,5.7127134846012
6.4,2,-3.78341079664632,-5.25129090953234,5.99574887049218
6.5,2,-3.34901387857359,-4.97940133499272,6.13818906269362
6.6,2,-2.69808608130896,-4.9530316802477,6.06624793331755
6.7,2,-2.30594784475771,-4.48404415669676,5.65029681836631
6.8,2,-1.81716260477443,-4.21901782734958,5.18152365020105
6.9,2,-1.32684963265286,-3.85341739461615,4.82230274850213
7,2,-0.94760555489231,-3.55779355247206,4.41486340183139
7.1,2,-0.512093184117138,-3.44152383443711,4.52475336113039
7.2,2,-0.0512639933052189,-3.43179409827943,4.71388363455831
7.3,2,0.281629339444276,-3.63526798265723,5.13288624600589
7.4,2,0.662362084412999,-3.7156604030019,5.54035105199675
7.5,2,0.953071786577724,-3.9325833989574,5.81786097946854
7.6,2,1.277245456683,-3.98408348177289,5.76266597527729
7.7,2,1.57511554049164,-4.01275770293743,5.49074109531498
7.8,2,1.95559556231636,-3.92294676270189,5.18032437759912
7.9,2,2.3414887899593,-3.77519205222945,4.86911219967983
8,2,2.90717850857472,-3.61468765421303,4.7345652081186
8.1,2,3.47217351693947,-3.42282552094582,4.8846920815908
8.2,2,4.08305973957165,-3.08584644924122,5.1897628468502
8.3,2,4.57563509115865,-2.84365205577906,5.64643616934089
8.4,2,4.59036952686104,-2.45855052606428,5.9984610748314
8.5,2,4.17609949542087,-2.04135914003964,6.29703989424608
8.6,2,3.17291513274879,-1.5205226129552,6.1818599343879
8.7,2,1.95677350853531,-0.947166257101423,6.18972385061685
8.8,2,0.712399126839961,-0.621445981278794,5.77442156527374
8.9,2,-0.507707846346019,-0.165760853579245,5.52184819678269
9,2,-1.40817263355737,0.0546872983727549,4.97362053711021
9.1,2,-1.64085845313179,0.0386248159269966,4.41938939303396
9.2,2,-1.65787229335695,0.00289957827785656,4.01835303953543
9.3,2,-1.33039471290876,-0.020730552484796,3.33262923461242
9.4,2,-0.990509426383508,-0.207729480785568,2.80908555876633
9.5,2,-0.663130190447158,-0.27481726006439,2.20404470615888
9.6,2,-0.332113390154463,-0.344798886083153,1.68881710135412
9.7,2,-0.301997232046538,-0.459380415876037,1.17261526496182
9.8,2,-0.484003467846018,-0.3666208027545,0.525246858988918
9.9,2,-1.01894739337251,-0.00798814518299569,0.149236482175651
